Updated,Outlet,Outlet Format,Type of Media,Languages Served 1,Geographic Focus,Communities Served,Outlet Website,Editorial Director Name,Editorial Director Email,Marketing Director Name,Marketing Director Email,Outlet Email,Outlet Phone
21-Aug,KATZ-OTT,Television,Broadcast,,,,https://katzdigitalvideo.com/,NA,NA,Victoria Toth,Victoria.toth@katzmedia.com,pj.stack@katzmedia.com,212-408-3674
21-Apr,Khasokhas,Magazine,Print and Digital,"Nepali, English",New York City,Nepalese,https://www.khasokhas.com/,Kishor Panthi,kishorpanthi@gmail.com,,,khasokhas@gmail.com,347-612-9449
21-Apr,Kigyo Gaikyo Newspaper,Newspaper,Print and Digital,Japanese,National,Japanese,http://ujp.com,Nobuo Ijchi,ijchi@ujp.com,Naoki Hishida,hishida@ujp.com,mail@ujp.com,212-252-8833
21-Apr,Korea Daily,Newspaper,Print and Digital,Korean,National,Korean,http://www.koreadaily.com/index_local_branch.html?branch=NY,,,,,,718-361-7700
,Korea Daily (New York Ilbo),Newspaper,Print and Digital,Korean,Regional – Metro Area,Korean,newyorkilbo.com,Euiyong Song,edit@newyorkilbo.com,Eunice Chung,"nyilbod@gmail.com;
chungeunsil@gmail.com",,718-939-0900
,Korea Times,Newspaper,Print and Digital,English,Regional – Metro Area,Korean,koreatimes.com,"Juyoung Ahn;
Jinhye Kim","ktnyedit@gmail.com;
jhkim@koreatimes.com",Margarette So (Advertising Director); Nann Jun (Marketing Director),"ad_ny@koreatimes.com;
marketing@koreatimes.com;
marketingny@koreatimes.com",,718-482-1111
21-Aug,Korean Broadcasting Network,Television,Broadcast,Korean,International,Korean,https://www.mykbn.com/,Byungkuk Kim,nypress67@gmail.com,kay Youm,kyoum1153@gmail.com,kbnnews@gmail.com,201-943-1212
21-Aug,Korean Channel TV,Television,Broadcast,Korean,National,Korean,,,,,,,
21-Aug,Korean Radio Broadcasting,Radio,Broadcast,Korean,International,Korean,www.am1660.com,K Sung,k@am1660.com,K Sung,k@am1660.com,,718-358-9300
,Kurier Plus,Newspaper,Print,Polish,Regional – Metro Area,Polish,kurierplus.com,Zofia Doktorowicz-Kłopotowska,kurier@kurierplus.com,Zofia Doktorowicz-Kłopotowska,kurier@kurierplus.com,,718-389-3018
,Kyodo News,Newspaper,Digital,"Japanese, English",International,Japanese,english.kyodonews.jp,Gemji Yamaguchi,yamaguchi.gemji@kyodonews.jp,Gemji Yamaguchi,yamaguchi.gemji@kyodonews.jp,,"917-763-0911; 
212-508-5060"
,La Tribuna Hispana USA,Newspaper,Print and Digital,Spanish,National,Latinx,latribunahispana.com,Luis Aguilar,editorial@latribunahispana.com,Emilio Ruiz,emilior@latribunahispana.com,advge@latribunahispana.com,888-900-2811
21-Apr,La Voz De Honduras (Newspaper),Newspaper,Print and Digital,Spanish,New York City,Honduran,https://lavozdehondurasnews.com/,Martha Aparicio,lavozinternacional@gmail.com,Martha Aparicio,lavozinternacional@gmail.com,lavozdehonduras@gmail.com,347-791-5183
21-Aug,La Voz de Honduras Radio,Radio,Broadcast,Spanish,,Honduran,https://www.radiohrn.hn,,,,,,
,Labor Press,Newspaper,Digital,English,Manhattan,Manhattan,laborpress.org,Neal Tepel,neal@laborpress.org,Stephanie West,stephanie@laborpress.org,,646-529-8435
,Lassi with Lavina,Newspaper,Digital,"English, Bengali, Guajarati, Tamil, Hindi, Marathi",International,Indian,lassiwithlavina.com,Lavina Melwani,lmelwani@gmail.com,Lavina Melwani,lmelwani@gmail.com,,917-657-6888
21-Aug,Latin Society of Audiovisual Media Inc,Television,Broadcast,Spanish,New York City,Latino / Dominican,,,,,,,
,Leader Observer of Woodhaven & Richmond Hill,Newspaper,Print and Digital,English,Queens,Queens,leaderobserver.com,,,,,,
,LIC Post,Newspaper,Print and Digital,English,Queens,Queens,licpost.com,,,,,,
,LIC/Astoria Journal,Newspaper,Print and Digital,English,Queens,Queens,http://www.licjournal.com/,,,,,,
,Lilith Magazine,Magazine,Print and Digital,English,National,Jewish,Lilith.org,Susan Weidman Schneider,SusanWS@Lilith.org,,,info@Lilith.org,212-757-0818
21-Apr,Luach Hatzibur,Newspaper,Print and Digital,"Yiddish, English",New York City,Jewish,https://www.dailyluach.com/,,,,luachads@gmail.com,LuachHatzibur@gmail.com,718-303-4300
21-Apr,Luso Americano,Newspaper,Print and Digital,Portuguese,National,Portuguese,http://lusoamericano.com,Luis Pires,lpires@lusoamericano.com,Lucy Jesus,ldejesus@lusoamericano.com,,973-344-3200
21-Aug,Makilala TV,Television,Broadcast,English,Regional,Filipino,https://makilalatv.com/,"Christina DC, Jen Furer, Rachelle Ocampo",cristina@makilalatv.com; jen@makilalatv.com; rachelle@makilalatv.com,"Christina DC, Jen Furer, Rachelle Ocampo",cristina@makilalatv.com; jen@makilalatv.com; rachelle@makilalatv.com,info@makilalatv.com,908-377-3979; 516-582-9310
,Manhattan Express,Newspaper,Digital,English,Manhattan,Manhattan,,Kathy Wenk,kwenk@schnepsmedia.com,,,,
21-Aug,Manhattan Neighborhood Network,Television,Broadcast,"English, Spanish, Arabic, Mandarin, Chinese, Japanese",New York City,Asian,https://www.mnn.org/watch/programs/youth-channel,,,,,,212-757-2670
21-Aug,Manhattan Neighborhood Network,Television,Broadcast,English,New York City,,https://www.mnn.org/,,,,,,212-757-2670
21-Aug,MBC MASR-TV,Television,Broadcast,Arabic,,Egyptian,https://www.mbc.net/home-page,,,,,,
,Metro Source,Magazine,Digital,English,National,LGBTQ+,https://metrosource.com/,Evelyn Vayner,evayner@metrosource.com,,,,
,Mill Basin Marine Park Courier,Newspaper,Print and Digital,English,Brooklyn,Brooklyn,,,,,,,
,Minority Commerce Weekly,Newsletter,Digital,English,National,People of Color,https://minoritycommerceweekly.com/,Jim Wood,jimwood@minoritycommerceweekly.com,,,,
,Mishpacha,Magazine,Print and Digital,"English, Hebrew",International,Jewish,mishpacha.com,Binyamin Rose,usoffice@mishpacha.com,Nina Feiner,advertise@mishpacha.com,,718-686-9339
21-Apr,MNN El Barrio Firehouse Community Media Center,Newspaper,Digital,Various,Manhattan,Manhattan,http://mnn.org,Samoya Nicolas,marketing@mnn.org,,,Zenaida@mnn.org,212-757-2670
,Mott Haven Herald,Newspaper,Digital,English,Bronx,Bronx,motthavenherald.com,Joe Hirsch,news@motthavenherald.com,,,editor@motthavenherald.com,718-549-2398
21-Aug,MTV LEBANON-TV,Television,Broadcast,Arabic,,Lebanese,https://www.mtv.com.lb/,,,,,,961 4 444 000
,Mundo Hispanico,Newspaper,Print and Digital,"English, Spanish",National,Latinx,https://mundohispanico.com/,,,,,,
,Muslim Community Report,Newspaper,Print and Digital,English,National,Muslim,,,,,,,
,National Urban League,Other Website,Digital,English,National,African-American,https://nul.org/,,,,,,
21-Aug,New Tang Dynasty Television,Television,Broadcast,Chinese,International,Chinese,https://www.ntdtv.com/,,,,,advertising@ntdtv.com,
,New York Amsterdam News,Newspaper,Print and Digital,English,International,African-American,amsterdamnews.com,Elinor Tatum,Elinor.tatum@amsterdamnews.com,Penda Howell,Penda.howell@amsterdamnews.com,penda.howell@amsterdamnews.com,212-932-7400
,New York Awam,Newspaper,Print and Digital,Urdu,Regional – Metro Area,Pakistani,newyorkawam.org,Hameed Minhas,nypawam@aol.com,Hameed Minhas,nypawam@aol.com,nypawam@aol.com,212-219-1331
21-Apr,New York Biz,Newspaper,Print and Digital,Japanese,New York City,Japanese,https://nybiz.nyc/,Akiko Kudo,kudo@weeklybiz.us,,,info@weeklybiz.us,212-997-0210
21-Aug,News 12,Television,Broadcast,English,Regional,,https://bronx.news12.com; https://brooklyn.news12.com,,,,,news12bx@news12.com; news12bkln@news12.com,"(718) 951-3991 (brooklyn), (718) 861-7215 (bronx)"
,News India Times USA,Newspaper,Print,English,International,Indian,newsindia-times.com,Sunil Adam,suniladam@yahoo.com,Shomik Chaudhuri,shomik2@newsindia-times.com,editor@newsindia-times.com,212-675-7515
,Newspaper Yevreiski Mir,Newspaper,Digital,Russian,National,Russian,evreimir.com,"Aryeh Katzin,
Lev Katsin","yevmir@gmail.com;
LevKatzin@evreimir.com; 
info@evreimir.com",Sergey Burmin,Manager@evreimir.com,,718-434-0900
,Norwood News,Newspaper,Print and Digital,English,Bronx,Bronx,norwoodnews.org,Sile Moloney,smoloney@norwoodnews.org,Janet Geller,jgeller@norwoodnews.org,norwoodnews@norwoodnews.org,718-324-4998
,Nowy Dziennik,Newspaper,Print and Digital,Polish,Regional – Metro Area,Polish,dziennik.com,Tomasz Bagnowski,"listy@dziennik.com;
tb@dziennik.com;
greenpoint@dziennik-com;
ib@dziennik-com","Delfina Kozimor;
Ilona Bruzda",,,"718-389-6117; 
212-594-2266"
21-Aug,One Caribbean Television,Television,Broadcast,English,National,Caribbean,https://onecaribbeantelevision.com/,,,,,,
,Our Time Press,Newspaper,Print and Digital,English,Brooklyn,African-American,ourtimepress.com,David Greaves,editors@ourtimepress.com,David Greaves,dbgmedia@ourtimepress.com,,718-599-6828
,Our Town,Newspaper,Print and Digital,English,Manhattan,Manhattan,nypress.com/our-town,Allen Houston,ahouston@manhattanmedia.com,Gerry Gavin,ggavin@manhattanmedia.com,ahouston@manhattanmedia.com,212-268-8600
21-Apr,Pakistan News USA (Daily News Pakistan),Newspaper,Print and Digital,"Urdu, English",National,Pakistani,http://dailynewspakistan.com/,Mujeeb S Lodhi,"newspakistan@aol.com, info@dailynewspakistan.com",Noor LodhI,,newspakistan@aol.com,347-236-8690
,Pakistan Post,Newspaper,Print and Digital,English,National,Pakistani,pakistanpost.net,Mohammad Farooqi,afaqfarooqi@yahoo.com,,,postnewyork@aol.com,718-739-3262
,Pakistan Voice,Newspaper,Print and Digital,English,National,Pakistani,pakistanvoice.net,Bashir Qamar,qamar777@hotmail.com,,,pakistanvoice@yahoo.com,516-470-1526
,Park Slope Courier,Newspaper,Print and Digital,English,Brooklyn,Brooklyn,cngmid.brooklynpaper.com/sections/park-slope-courier,,,,,,
21-Apr,Parkchester Times,Newspaper,Digital,English,Bronx,Parkchester (Bronx),https://parkchestertimes.com/,,editor@parkchestertimes.com,,,editor@parkchestertimes.com,718-822-5555
21-Apr,Parle Magazine,Magazine,Digital,English,National,African American,https://www.parlemag.com,Kevin Benoit,parlemagazine@gmail.com,Kevin Benoit,,parlemagazine@gmail.com,646-262-6026
21-Apr,Philippine Daily Mirror,Newspaper,Digital,English,Regional – Metro Area,Filipino,https://philippinedailymirror.com,Richie Rillera,rickyrillera@philippinedailymirror.com,,,info@philippinedailymirror.com,908-485-6188
,Positive Community,Magazine,Print and Digital,English,Regional – Metro Area,African-American,https://thepositivecommunity.com/,"Adrian Council, Jr",adrian_jr@thepositivecommunity.com,,,,
,"Pride Media, Inc.",Newspaper,Print and Digital,English,National,LGBTQ+,https://www.pridemedia.com/,,,,,,
21-Aug,PTC Punjabi,Television,Broadcast,Punjabi,National,Indian,https://www.ptcplay.com/,,,,,appfeedback@ptcnetwork.com,
21-Aug,PTC Punjabi,Television,Broadcast,Punjabi,National,Indian,https://www.ptcplay.com/,,,,,appfeedback@ptcnetwork.com,
,Punjabi Duniya Newspaper,Newspaper,Digital,Punjabi,National,Punjabi,punjabiduniya.com,Sharanjit Singh,editor@punjabiduniya.com,Anupam Nagpal,,editor@punjabiduniya.com,917-612-3158
21-Aug,Punjabi Duniya TV,Television,Broadcast,Punjabi,,,http://punjabiduniya.com/default.aspx,,,,,,
,Queens Buzz,Newspaper,Digital,English,Queens,Queens,queensbuzz.com,Michael Wood,mwood@queensbuzz.com,Michael Wood,mwood@queensbuzz.com,,718-458-0535
,Queens Chronicle,Newspaper,Print and Digital,English,Queens,Queens,qchron.com,Peter C. Mastrosimone,peterm@qchron.com,Ray Sito,rays@qchron.com,mailbox@qchron.com,718-205-8000
,Queens Courier,Newspaper,Print and Digital,English,Queens,Queens,qns.com/about-us,Robert Pozarycki,editorial@qns.com; rpozarycki@qns.com,Bob Brennan,bbrennan@qns.com,,718-224-5863 Ext. 204
,Queens Daily Eagle,Newspaper,Digital,English,Queens,Queens,QueensEagle.com,Michael Nussbaum / David Brann,david@queenspublicmedia.com; michael@queenspublicmedia.com,Michael Nussbaum / Maurine Capolla,michael@queenspublicmedia.com; maureen@queenspublicmedia.com,,718-643-0999
,Queens Examiner,Newspaper,Print and Digital,English,Queens,Queens,queensexaminer.com,,,,,,
,Queens Gazette,Newspaper,Print and Digital,English,Queens,Queens,qgazette.com,Tony Barsamian,qgazette@aol.com,Tony Barsamian,qgazette@aol.com,,718-361-6161
,Queens Jewish Link,Newspaper,Digital,English,Queens,Jewish,queensjewishlink.com,Rabbi Yisroel Benedek,queensjewishlink@gmail.com,"Yaakov Serle;
Abe Fuchs",,,718-880-2622
,Queens Latino,Newspaper,Print and Digital,Spanish,Queens,Latinx,queenslatino.com,Javier Castano,javiercastano@queenslatino.com,,,javiercastano@queenslatino.com,646-246-1960
,Queens Ledger,Newspaper,Print and Digital,English,Queens,Queens,queensledger.com,Walter Sanches,news@queensledger.com,,ads@queensledger.com,,718-426-7200
,Queens Post,Newspaper,Print and Digital,English,Queens,Queens,queenspost.com,,,,,,
21-Aug,Queens Public Television,Television,Broadcast,English,New York City,,https://qptv.org/,,,,,,(718) 886-8160
,Queens Times Ledger,Newspaper,Digital,English,Queens,Queens,queensledger.com,Walter Sanches,news@queensledger.com,,ads@queensledger.com,,718-426-7200
,Queens West Villager,Newspaper,Digital,English,Queens,Queens,queenswestvillager.com,,holly@queenswestvillager.com,,,holly@queenswestvillager.com,917-723-4208
21-Aug,Radio Asia,Radio,Broadcast,English,International,"Asia, various",https://www.radioasiauae.com/,,,,,sales@radioasia.ae,00 971 4 4534950
21-Aug,Radio Rampa,Radio,Broadcast,Polish,New York City,Polish,https://radiorampa.com/,Monika Adamski,Monika@radiorampa.com,Artur Adamski,artur@radiorampa.com ; Cell Number - 732-801-1570,info@iRampa.com,917-688-2424
21-Aug,Radio Soleil,Radio,Broadcast,"French, Haitian Creole, English",New York City,,http://www.radiosoleil.com/,Ricot Dupuy,radsol@aol.com,Ricot Dupuy,0,0,917 817 2501
21-Aug,Radio Zindagi,Radio,Broadcast,"English, Hindi",,"Indian, South Asian",https://radiozindagi.com/newyork/,,,,,skhali@aol.com,732-662-4701
21-Aug,Radisoil Carribean,Radio,Broadcast,,,,,,,,,,
,Red Hook Star Revue,Newspaper,Print and Digital,English,Brooklyn,Brooklyn,star-revue.com,George Fiala,george@redhookstar.com,Jamie Yates,jamie@redhookstar.com,,718-624-5568
,Rego Park Times,Newspaper,Print and Digital,English,Queens,Queens,,,,,,,
,Ridgewood Post,Newspaper,Print and Digital,English,Queens,Queens,ridgewoodpost.com,,,,,,
,Ridgewood Times,Newspaper,Print,English,Queens,Queens,https://qns.com/timesnewsweekly/,Adele Udell,audell@schnepsmedia.com,,,,
,Riverdale Press,Newspaper,Print,English,Bronx,Bronx,riverdalepress.com,Michael  Hinman,mhinman@riverdalepress.com,Cheryl Ortiz,cortiz@riverdalepress.com,newsroom@riverdalepress.com,718-543-6065
21-Nov,Rockaway Point News,Newspaper,Digital,English,Far Rockaway,,http://rpnewsonline.com/currentissue/RPN.pdf,,,,,,718-634-8730
,Rockaway Times,Newspaper,Digital,English,Queens,Queens,rockawaytimes.com,Katie McFadden,Editor@RockawayTimes.com,PatricIa Mcveigh,Ads@RockawayTimes.com,,718-634-3030
,Romanian Journal,Newspaper,Digital,Romanian,International,Romanian,romanianjournal.us,Vasile Badaluta,romanianjournalny@yahoo.com; editor@romanianjournal.us,Mariana Tera,nymariana@aol.com,,718-482-9588
,Roosevelt Islander,Newspaper,Digital,English,Manhattan,Roosevelt Island (Manhattan),http://rooseveltislander.blogspot.com/,Rick O'Conor,rooseveltislander@gmail.com,,,,
21-Aug,RTN-TV,Television,Broadcast,Russian,,,https://www.rtn.tv,,,,,,
21-Aug,RTVI-TV,Television,Broadcast,Russian,International,Russian,https://rtvi.com/,,,,,Infortvi@rtvi.com,7(499)579-86-96
21-Aug,RUSA Radio,Radio,Broadcast,Russian,National,Russian,https://rusa.fm/,Anna Peckerman,anna@rusa.fm,Helen Vinogradova,helen@rusa.fm,info@rusa.fm,718-339-0003
21-Aug,Rusrek Radio,Radio,Broadcast,Russian,,Polish,https://rusrek.com/,Mikhail Tripolsky,Zemakat@gmail.com,Mariya Mishina,rusrek2000@gmail.com,rusrek2000@gmail.com,718-769-3000
,Russian Bazaar,Newspaper,Digital,Russian,National,Russian,Russian-Bazaar.com,Natasha Shapiro,Rusbazaar@yahoo.com,Margarita Shapiro,Rusbazaar@yahoo.com,Rusbazaar@yahoo.com,718-266-4444
21-Aug,Russian Radio,Radio,Broadcast,Russian,National,Russian,,,,,,,
,Russkaya Reklama,Newspaper,Print and Digital,Russian,Regional – Metro Area,Russian,rusrek.com,Michael Tripolsky,reklama2000@yahoo.com,,,reklama2000@yahoo.com,718-769-3000
21-Nov,Sada-e-Pakistan,Newspaper,Digital,Urdu,Brooklyn,Pakistani,https://www.facebook.com/pages/category/Broadcasting---Media-Production-Company/Sada-E-Pakistan-193774580633855/,,,,,,(718) 859-1847
,Schneps Media,Newspaper,Print and Digital,English,Regional – Metro Area,-,https://www.schnepsmedia.com/,Josh Schneps,jschneps@schnepsmedia.com,0,0,0,718 260 8331
,Sing Tao Daily,Newspaper,Print and Digital,Chinese,National,Chinese,singtaousa.com/ny,Lotus Chau,"lotuschau@nysingtao.com; 
info@nysingtao.com",Rick Ho,"rickho@nysingtao.com;
marketing@nysingtao.com",,212-699-3800
21-Aug,SinoVision,Television,Broadcast,Chinese,International,Chinese,https://www.nysino.com/sinotv,,,,,,
21-Aug,Sony Entertainment Television (SET India),Television,Broadcast,Hindi,,Indian,https://setchannel.tv,,,,,,
,South East Queens Press,Newspaper,Print,English,Queens,Queens,queenspress.com,Steven Ferrari,editor@queenspress.com,Gerry Laytin,glaytin@queenstribune.com,news@queenspress.com,718-357-7400
,Staten Island Advance,Newspaper,Print and Digital,English,Staten Island,Staten Island,silive.com,Brian Laline,laline@siadvance.com,Dan Ryan,dryan@siadvance.com,,
,Staten Island Business Trends,Newspaper,Digital,English,Staten Island,Staten Island,https://sibiztrends.com/,Bonnie Arciero,barciero@newspapermediagroup.com,,,,
21-Aug,Staten Island Community Television,Television,Broadcast,English,New York City,,http://www.sictv.org/,,,,,STAFF@SICTV.ORG,718 727-1414
,Straus Media Group,Newspaper,Print and Digital,English,Manhattan,Manhattan,http://strausnews.com/,Seth Miller,seth.miller@strausnews.com,,,,
21-Aug,Subrang TV USA,Television,Broadcast,"Urdu, Bengali, English",National,Pakistani,https://www.subrangtv.com/,,,,,,(718) 267-9464
,Sunnyside Post,Newspaper,Digital,English,Queens,Queens,https://sunnysidepost.com/,Christian Amez,camez@queenspost.com,,,,
21-Aug,Sunu Afrik Radio,Radio,Broadcast,"English, French, Various African",National,,0,El Hadji Ndao,sunundao@gmail.com,El Hadji Ndao,0,0,678 208 9027
21-Aug,SUPER CANAL-TV,Television,Broadcast,Spanish,,Dominican,www.supercanal.com,,,,,info@supercanal.com,809 531 3333
21-Apr,Super Express,Newspaper,Print and Digital,Polish,National,Polish,https://usa.se.pl,Magdalena Odziemczyk,modziemczyk@se.com.pl,Eric Porezynski,darekp@seusa.info,reklama@seusa.info,212-227-5800
,Tablet Magazine,Magazine,Print and Digital,English,International,Jewish,tabletmag.com,Alana Newhouse,alana.newhouse@gmail.com; info@tabletmag.com,Gabriel Sanders,gsanders@tabletmag.com; advertising@tabletmag.com,,212-920-3676
21-Aug,TBN24,Television,Broadcast,"Bangla, English",New York City,Bangladeshi-American,https://www.tbn24.com/,Habib Rahman,hrahman@tbn24.com,AF Mesbahuz Zaman,mailto:sales@tbn24.com,info@tbn24.com,718 808-9000
21-Aug,TELEMICRO-TV,Television,Broadcast,Spanish,,Dominican,https://telemicro.com.do/,,,,,,
,The  Bulletin (Williamsburg Bulletin),Magazine,Print,English,Brooklyn,Jewish,https://williamsburgbulletin.com/,,ADS@willbulletin.com,,,,
21-Aug,The Africa Channel TV,Television,Broadcast,English,,African,https://theafricachannel.com/,,,,,info@theafricachannel.com,818 655-9977
,The African Sun Times,Newspaper,Digital,English,National,African,africansuntimes.com,Abba Onyeani,aonyeani@africansuntimes.com,Chika  Onyeani II,aonyeani@africansuntimes.com,africansuntimes@yahoo.com,973 280 8415
21-Apr,The Algemeiner,Newspaper,Print and Digital,English,International,Jewish,https://www.algemeiner.com/,Dovid Efune,Editor@algemeiner.com,Feige Braun,Algemeiner@aol.com,editor@algemeiner.com,212-376-4988
,The Black Star News,Newspaper,Digital,English,International,African-American,blackstarnews.com,Milton Allimadi,milton@blackstarnews.com,Vernon Verdree,Vernon@blackstarnews.com,milton@blackstarnews.com,646-261-7566
21-Apr,The Brasilians Newspaper,Newspaper,Print and Digital,"English, Portuguese",New York City,Brazilian,http://thebrasilians.com,João de Matos,go2rio@aol.com,Isaura La Cour,isaurathebrasilians@gmail.com,Tthebrasil@aol.com,212-398-6464
,The Bridge Brooklyn Business News,Newspaper,Digital,English,Brooklyn,Brooklyn,thebridgebk.com,Steve Koepp,,Steve Koepp,,,
,The Bronx Daily,Newspaper,Print and Digital,English,Bronx,Bronx,bronx.com,,,,,,
,The Bronx Free Press,Newspaper,Print and Digital,"Spanish, English",Bronx,Bronx,thebronxfreepress.com,Debralee Santos,"editor@thebronxfreepress.com, editor@thebronxfreepress.com",Roberto Ramirez,publisher@thebronxfreepress.com,"editor@manhattantimesnews.com, editor@thebronxfreepress.com",212-569-5800
,The Bronx Times Reporter,Newspaper,Digital,English,Bronx,Bronx,bxtimes.com,John Collazzi,"bronxtimes@aol.com; 
JCollazzi@CNGLocal.com",Laura Guerriero,lguerriero@schnepsmedia.com,,718-260-4597
,The Brooklyn Home Reporter,Newspaper,Digital,English,Brooklyn,Brooklyn,brooklynreporter.com/about-us,Helen Klein,hklein@brooklynreporter.com; editorial@brooklynreporter.com,"Megan McGoldrick;
Alice Peters","MMcGoldrick@brooklynreporter;
alice@brooklyneagle.com",,718-238-6600
,The Brooklyn Rail,Journal,Digital,English,Brooklyn,Brooklyn,http://brooklynrail.org,Phong  Bui,hq@brooklynrail.org,,,"editorial@brooklynrail.org, hq@brooklynrail.org",718-349-8427
,The Bukharian Times,Newspaper,Print and Digital,Russian,Queens,"Jewish, Russian",bukhariantimes.org,Raphael Nektalov,bukhariantimes@aol.com,Mark Rubinov,bukhariantimes@aol.com,bukhariantimes@aol.com,718-261-1595
,The Chief,Newspaper,Print and Digital,English,New York City,-,https://thechiefleader.com/,Ed Prial,eprial@rcn.com,,,,
,The FilAm,Magazine,Print and Digital,English,International,Filipino,thefilam.net,Cristina Pastor,thefilamny@gmail.com,,,thefilamny@gmail.com,848-219-0069
,The Forum,Newspaper,Digital,English,Queens,Queens,http://theforumnewsgroup.com/,Michael V. Cusenza,michael@theforumnewsgroup.com,Michael V. Cusenza,michael@theforumnewsgroup.com,forumsouth@gmail.com,718-845-3221
21-Apr,The Greenline,Newspaper,Digital,English,Brooklyn,North Brooklyn,https://northbrooklynnews.com/,Lori Ann Doyon,Ldoyon@stnicksalliance.org,Lori Ann Doyon,Ldoyon@stnicksalliance.org,,718-388-5454
,The Harlem Times,Newspaper,Digital,English,Manhattan,Manhattan,theharlemtimes.com,John Meo,johnjmeo@gmail.com,Paul jackson,pjackson@theharlemtimes.com,pjackson@theharlemtimes.com,347-569-7120
,The Hunts Point Express,Newspaper,Digital,English,Bronx,Bronx,huntspointexpress.com,Bernard Stein,editor@huntspointexpress.com,,,editor@huntspointexpress.com,718-549-2398
,The Immigrant's Journal,Journal,Print,English,New York City,Immigrant,,Pearl Phillip,cariaweekly@aol.com,,,immjournal@aol.com,718-243-9431
21-Apr,The Indypendent,Newspaper,Print and Digital,English,New York City,-,http://indypendent.org,John Tarleton,john@indypendent.org,Dean Patterson,dean.indypendent@gmail.com,contact@indypendent.org,212-904-1282
,The Lo-Down,Newspaper,Digital,English,Manhattan,Manhattan,thelodownny.com,Ed Litvak,ed@thelodownny.com,Traven Rice,ads@thelodownny.com,info@thelodownny.com,646-861-1805
,The Manhattan Times,Newspaper,Print and Digital,"English, Spanish",Manhattan,Manhattan,manhattantimesnews.com,Debralee Santos,editor@manhattantimesnews.com,Roberto Ramirez,publisher@manhattantimesnews.com,editor@manhattantimesnews.com,212-569-5800
,The National Herald,Newspaper,Print and Digital,English,International,Greek,thenationalherald.com,Antonis Diamataris,publisher@thenationalherald.com,Veta Diamataris,advertising@thenationalherald.com,english.edition@thenationalherald.com,718-784-5255
,The Network Journal,Journal,Print and Digital,English,Regional – Metro Area,African-American,tnj.com,Rosalind McLymont,rmclymont@tnj.com,,,tnjeditors@tnj.com,212-962-3791
,The New York Beacon,Newspaper,Print and Digital,English,Regional – Metro Area,African-American,https://newyorkbeacon.com/,Miatta Smith,nybeaconads@yahoo.com,Miatta Smith,nybeaconads@yahoo.com,,212-213-8585
,The New York Carib News,Newspaper,Print and Digital,English,National,Caribbean,www.nycaribnews.com,Karl Rodney,"kfrodney@nycaribnews.com, caribnews347@gmail.com,",Faye Rodney,rodneyfaye@aol.com,caribdesk@gmail.com,212-944-1991
,The New York World,Newspaper,Digital,English,New York City,-,thenewyorkworld.com,Benjamin Lesser,benjamin.lesser@thenewyorkworld.com,,,nyworld@thenewyorkworld.com,212-854-7356
,The Pakistani Newspaper,Newspaper,Print and Digital,"English, Urdu",International,Pakistani,pn.com.pk,Mohsin Zaheer,mohsinzaheer@aol.com,,,mohsinzaheer@aol.com,917-287-1995
,The South Asian Insider,Newspaper,Print and Digital,English,International,South Asian,thesouthasianinsider.com,Sharanjit Singh Thind,editor@thesouthasianinsider.com,Anupam Nagpal,anupam@thesouthasianinsider.com,editor@thesouthasianinsider.com,516-495-4411
,The South Asian Times,Newspaper,Digital,English,National,South Asian,thesouthasiantimes.info,Parveen Chopra,parveen@thesouthasiantimes.info,Arjit Mehta,arjit@thesouthasiantimes.info,arjit@thesouthasiantimes.info,516-390-7847
,The Tablet,Newspaper,Print and Digital,English,Brooklyn,Catholic,https://thetablet.org/,JoAnn DiNapoli,jdinapoli@desalesmedia.org,,,,
,The Tribeca Trib,Newspaper,Print and Digital,English,Manhattan,Manhattan,tribecatrib.com,Carl Glassman,carlg@tribecatrib.com,Dana Seman,dana@tribecatrib.com,tribeditor@tribecatrib.com,212-219-9709
,The Wave,Newspaper,Print and Digital,English,Queens,Queens,rockawave.com,Mark C. Healey,editor@rockawave.com,Feicia Edwards,ads@rockawave.com,,718-634-4000 Ext. 221
,The West Indian,Newspaper,Digital,English,New York City,Caribbean,thewestindianonline.com,,,,,,
,The Yeshiva World,Newspaper,Digital,English,International,Jewish,theyeshivaworld.com,,yweditor2@gmail.com,,,,
,Thikana,Newspaper,Print and Digital,Bengali,National,Bangladeshi,https://www.thikana.us/,Fazlur Rahman,wthikana@aol.com,Monjur Hossain,wthikana@aol.com,wthikana@aol.com,718-472-0700
21-Aug,Time Television,Television,Broadcast,Bengali,National,Bangladeshi,http://timetvusa.com/,Abu Taher,abutaher@gmail.com,0,0,0,718 753 0086
21-Aug,Times Now,Television,Broadcast,English,,Indian,https://www.timesnownews.com/,,,,,info@timesnow.tv,91 22 24999944
,Town and Village,Newspaper,Digital,English,Manhattan,Manhattan,https://town-village.com/,Sal Governale,sal@townvillage.net,,,,
21-Apr,Tribeca Citizen,Newspaper,Digital,English,Manhattan,Tribeca (Manhattan),https://tribecacitizen.com/,Pam Frederick,tribecacitizen@gmail.com,Pam Frederick,tribecacitizen@gmail.com,tribecacitizen@gmail.com,917-902-9233
21-Apr,Turkish Journal,Newspaper,Digital,"Turkish, English",National,Turkish,http://www.turkishjournal.com,Selcuk Acar,acarselcuk@gmail.com,,,acarselcuk@gmail.com,917-365-6087
